transactionId,userId,amount
txn-001,user-101,100.00
txn-002,user-102,250.50
txn-003,user-103,75.25
txn-004,user-104,1000.00
txn-005,user-105,42.00
txn-006,user-106,310.75
txn-007,user-107,88.40
txn-008,user-108,1250.00
txn-009,user-109,19.99
txn-010,user-110,640.00
txn-011,user-111,55.10
txn-012,user-112,220.00
txn-013,user-113,15.00
txn-014,user-114,890.25
txn-015,user-115,33.33
txn-016,user-116,450.00
txn-017,user-117,12.50
txn-018,user-118,775.00
txn-019,user-119,99.99
txn-020,user-120,180.00
txn-041,fail-user,500.00
txn-021,user-121,260.00
txn-022,user-122,47.80
txn-023,user-123,910.00
txn-024,user-124,6.25
txn-025,user-125,330.00
txn-026,user-126,145.60
txn-027,user-127,2050.00
txn-028,user-128,70.00
txn-029,user-129,415.15
txn-030,user-130,28.00
txn-042,fail-user,750.00
txn-031,user-131,560.00
txn-032,user-132,81.90
txn-033,user-133,120.00
txn-034,user-134,999.00
txn-035,user-135,44.44
txn-036,user-136,275.00
txn-037,user-137,8.00
txn-038,user-138,680.50
txn-039,user-139,155.00
txn-040,user-140,320.00
txn-001,user-101,100.00
txn-010,user-110,640.00
txn-025,user-125,330.00
txn-040,user-140,320.00
txn-043,,85.00
txn-044,user-144,
txn-045,user-145,abc
txn-046,user-146,-25.00
